Date,Name,Type,Day
2022-01-01,New Year's Day,Restricted Holiday,Saturday
2022-01-09,Guru Govind Singh Jayanti,Restricted Holiday,Sunday
2022-01-13,Lohri,Restricted Holiday,Thursday
2022-01-14,Pongal,Restricted Holiday,Friday
2022-01-26,Republic Day,Gazetted Holiday,Wednesday
2022-02-01,Lunar New Year,Observance,Tuesday
2022-02-05,Vasant Panchami,Restricted Holiday,Saturday
2022-02-14,Valentine's Day,Observance,Monday
2022-02-15,Hazarat Ali's Birthday,Restricted Holiday,Tuesday
2022-02-16,Guru Ravidas Jayanti,Restricted Holiday,Wednesday
2022-02-19,Shivaji Jayanti,Restricted Holiday,Saturday
2022-02-26,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday,Saturday
2022-03-01,Maha Shivaratri/Shivaratri,Gazetted Holiday,Tuesday
2022-03-17,Holika Dahana,Restricted Holiday,Thursday
2022-03-18,Holi,Gazetted Holiday,Friday
2022-03-20,March Equinox,Season,Sunday
2022-04-02,Chaitra Sukhladi,Restricted Holiday,Saturday
2022-04-10,Rama Navami,Restricted Holiday,Sunday
2022-04-14,Maundy Thursday,"Observance, Christian",Thursday
2022-04-15,Good Friday,Gazetted Holiday,Friday
2022-04-16,First day of Passover,Observance,Saturday
2022-04-17,Easter Day,Restricted Holiday,Sunday
2022-04-29,Jamat Ul-Vida (Tentative Date),Restricted Holiday,Friday
2022-05-01,International Worker's Day,Observance,Sunday
2022-05-03,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday,Tuesday
2022-05-08,Mothers' Day,Observance,Sunday
2022-05-09,Birthday of Rabindranath,Restricted Holiday,Monday
2022-05-16,Buddha Purnima/Vesak,Gazetted Holiday,Monday
2022-06-19,Fathers' Day,Observance,Sunday
2022-06-21,June Solstice,Season,Tuesday
2022-07-01,Rath Yatra,Restricted Holiday,Friday
2022-07-10,Bakrid/Eid ul-Adha,Gazetted Holiday,Sunday
2022-07-13,Guru Purnima,Observance,Wednesday
2022-08-07,Friendship Day,Observance,Sunday
2022-08-09,Muharram/Ashura,Gazetted Holiday,Tuesday
2022-08-11,Raksha Bandhan (Rakhi),Restricted Holiday,Thursday
2022-08-15,Independence Day,Gazetted Holiday,Monday
2022-08-16,Parsi New Year,Restricted Holiday,Tuesday
2022-08-18,Janmashtami (Smarta),Restricted Holiday,Thursday
2022-08-19,Janmashtami,Gazetted Holiday,Friday
2022-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday,Wednesday
2022-09-08,Onam,Restricted Holiday,Thursday
2022-09-23,September Equinox,Season,Friday
2022-09-26,First Day of Sharad Navratri,"Observance, Hinduism",Monday
2022-10-01,First Day of Durga Puja Festivities,"Observance, Hinduism",Saturday
2022-10-02,Mahatma Gandhi Jayanti,Gazetted Holiday,Sunday
2022-10-03,Maha Ashtami,Restricted Holiday,Monday
2022-10-04,Maha Navami,Restricted Holiday,Tuesday
2022-10-05,Dussehra,Gazetted Holiday,Wednesday
2022-10-09,Maharishi Valmiki Jayanti,Restricted Holiday,Sunday
