Date,Unnamed: 1_level_0,Name,Type
Date,Unnamed: 1_level_1,Name,Type
,,,
1 Jan,Sunday,New Year's Day,Restricted Holiday
14 Jan,Saturday,Makar Sankranti,Restricted Holiday
14 Jan,Saturday,Lohri,Observance
15 Jan,Sunday,Pongal,Restricted Holiday
22 Jan,Sunday,Lunar New Year,Observance
26 Jan,Thursday,Republic Day,Gazetted Holiday
26 Jan,Thursday,Vasant Panchami,Restricted Holiday
,,,
5 Feb,Sunday,Guru Ravidas Jayanti,Restricted Holiday
5 Feb,Sunday,Hazarat Ali's Birthday,Restricted Holiday
14 Feb,Tuesday,Valentine's Day,Observance
15 Feb,Wednesday,Maharishi Dayanand Saraswati  Jayanti,Restricted Holiday
18 Feb,Saturday,Maha Shivaratri/Shivaratri,Restricted Holiday
19 Feb,Sunday,Shivaji Jayanti,Restricted Holiday
,,,
7 Mar,Tuesday,Dolyatra,Restricted Holiday
7 Mar,Tuesday,Holika Dahana,Restricted Holiday
8 Mar,Wednesday,Holi,Gazetted Holiday
21 Mar,Tuesday,March Equinox,Season
22 Mar,Wednesday,Chaitra Sukhladi,Restricted Holiday
22 Mar,Wednesday,Ugadi,Restricted Holiday
22 Mar,Wednesday,Gudi Padwa,Restricted Holiday
24 Mar,Friday,Ramadan Start,Observance
30 Mar,Thursday,Rama Navami,Gazetted Holiday
,,,
4 Apr,Tuesday,Mahavir Jayanti,Gazetted Holiday
6 Apr,Thursday,First day of Passover,Observance
6 Apr,Thursday,Maundy Thursday,"Observance, Christian"
7 Apr,Friday,Good Friday,Gazetted Holiday
9 Apr,Sunday,Easter Day,Restricted Holiday
14 Apr,Friday,Vaisakhi,Restricted Holiday
14 Apr,Friday,Ambedkar Jayanti,Observance
14 Apr,Friday,Ambedkar Jayanti,Central Government Holiday
15 Apr,Saturday,Mesadi / Vaisakhadi,Restricted Holiday
21 Apr,Friday,Jamat Ul-Vida (Tentative Date),Restricted Holiday
22 Apr,Saturday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
22 Apr,Saturday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
,,,
1 May,Monday,International Worker's Day,Observance
5 May,Friday,Buddha Purnima/Vesak,Gazetted Holiday
9 May,Tuesday,Birthday of Rabindranath,Restricted Holiday
14 May,Sunday,Mothers' Day,Observance
,,,
18 Jun,Sunday,Fathers' Day,Observance
20 Jun,Tuesday,Rath Yatra,Restricted Holiday
21 Jun,Wednesday,June Solstice,Season
29 Jun,Thursday,Bakrid/Eid ul-Adha,Gazetted Holiday
,,,
3 Jul,Monday,Guru Purnima,Observance
29 Jul,Saturday,Muharram/Ashura,Gazetted Holiday
,,,
6 Aug,Sunday,Friendship Day,Observance
15 Aug,Tuesday,Independence Day,Gazetted Holiday
16 Aug,Wednesday,Parsi New Year,Restricted Holiday
20 Aug,Sunday,Vinayaka Chathurthi,Restricted Holiday
29 Aug,Tuesday,Onam,Restricted Holiday
30 Aug,Wednesday,Raksha Bandhan (Rakhi),Restricted Holiday
,,,
6 Sep,Wednesday,Janmashtami (Smarta),Restricted Holiday
7 Sep,Thursday,Janmashtami,Gazetted Holiday
19 Sep,Tuesday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
23 Sep,Saturday,September Equinox,Season
28 Sep,Thursday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
,,,
2 Oct,Monday,Mahatma Gandhi Jayanti,Gazetted Holiday
15 Oct,Sunday,First Day of Sharad Navratri,"Observance, Hinduism"
20 Oct,Friday,First Day of Durga Puja Festivities,"Observance, Hinduism"
21 Oct,Saturday,Maha Saptami,Restricted Holiday
22 Oct,Sunday,Maha Ashtami,Restricted Holiday
23 Oct,Monday,Maha Navami,Restricted Holiday
24 Oct,Tuesday,Dussehra,Gazetted Holiday
28 Oct,Saturday,Maharishi Valmiki Jayanti,Restricted Holiday
31 Oct,Tuesday,Halloween,Observance
,,,
1 Nov,Wednesday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
12 Nov,Sunday,Naraka Chaturdasi,Restricted Holiday
12 Nov,Sunday,Diwali/Deepavali,Gazetted Holiday
13 Nov,Monday,Govardhan Puja,Restricted Holiday
15 Nov,Wednesday,Bhai Duj,Restricted Holiday
19 Nov,Sunday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
24 Nov,Friday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
27 Nov,Monday,Guru Nanak Jayanti,Gazetted Holiday
,,,
8 Dec,Friday,First Day of Hanukkah,Observance
15 Dec,Friday,Last day of Hanukkah,Observance
22 Dec,Friday,December Solstice,Season
24 Dec,Sunday,Christmas Eve,Restricted Holiday
25 Dec,Monday,Christmas,Gazetted Holiday
31 Dec,Sunday,New Year's Eve,Observance
