load_data,date,day
16.07,2022-04-01 00:15:00,Friday
13.75,2022-04-01 00:30:00,Friday
13.13,2022-04-01 00:45:00,Friday
10.36,2022-04-01 01:00:00,Friday
9.96,2022-04-01 01:15:00,Friday
8.57,2022-04-01 01:30:00,Friday
12.33,2022-04-01 01:45:00,Friday
11.75,2022-04-01 02:00:00,Friday
13.56,2022-04-01 02:15:00,Friday
11.48,2022-04-01 02:30:00,Friday
9.78,2022-04-01 02:45:00,Friday
11.6,2022-04-01 03:00:00,Friday
12.02,2022-04-01 03:15:00,Friday
14.24,2022-04-01 03:30:00,Friday
13.62,2022-04-01 03:45:00,Friday
17.98,2022-04-01 04:00:00,Friday
15.06,2022-04-01 04:15:00,Friday
15.9,2022-04-01 04:30:00,Friday
17.59,2022-04-01 04:45:00,Friday
18.15,2022-04-01 05:00:00,Friday
20.59,2022-04-01 05:15:00,Friday
21.8,2022-04-01 05:30:00,Friday
15.64,2022-04-01 05:45:00,Friday
12.06,2022-04-01 06:00:00,Friday
15.17,2022-04-01 06:15:00,Friday
21.77,2022-04-01 06:30:00,Friday
23.46,2022-04-01 06:45:00,Friday
19.84,2022-04-01 07:00:00,Friday
17.57,2022-04-01 07:15:00,Friday
23.41,2022-04-01 07:30:00,Friday
18.87,2022-04-01 07:45:00,Friday
21.48,2022-04-01 08:00:00,Friday
19.14,2022-04-01 08:15:00,Friday
24.55,2022-04-01 08:30:00,Friday
20.54,2022-04-01 08:45:00,Friday
21.63,2022-04-01 09:00:00,Friday
20.29,2022-04-01 09:15:00,Friday
24.99,2022-04-01 09:30:00,Friday
19.47,2022-04-01 09:45:00,Friday
19.15,2022-04-01 10:00:00,Friday
15.19,2022-04-01 10:15:00,Friday
18.04,2022-04-01 10:30:00,Friday
18.09,2022-04-01 10:45:00,Friday
16.65,2022-04-01 11:00:00,Friday
20.38,2022-04-01 11:15:00,Friday
16.28,2022-04-01 11:30:00,Friday
13.82,2022-04-01 11:45:00,Friday
15.65,2022-04-01 12:00:00,Friday
22.7,2022-04-01 12:15:00,Friday
21.48,2022-04-01 12:30:00,Friday
20.03,2022-04-01 12:45:00,Friday
19.23,2022-04-01 13:00:00,Friday
19.83,2022-04-01 13:15:00,Friday
18.44,2022-04-01 13:30:00,Friday
19.95,2022-04-01 13:45:00,Friday
17.29,2022-04-01 14:00:00,Friday
11.92,2022-04-01 14:15:00,Friday
14.07,2022-04-01 14:30:00,Friday
16.82,2022-04-01 14:45:00,Friday
18.52,2022-04-01 15:00:00,Friday
18.12,2022-04-01 15:15:00,Friday
22.75,2022-04-01 15:30:00,Friday
21.96,2022-04-01 15:45:00,Friday
20.97,2022-04-01 16:00:00,Friday
25.11,2022-04-01 16:15:00,Friday
17.45,2022-04-01 16:30:00,Friday
16.86,2022-04-01 16:45:00,Friday
17.44,2022-04-01 17:00:00,Friday
24.13,2022-04-01 17:15:00,Friday
21.85,2022-04-01 17:30:00,Friday
16.75,2022-04-01 17:45:00,Friday
18.01,2022-04-01 18:00:00,Friday
19.88,2022-04-01 18:15:00,Friday
19.45,2022-04-01 18:30:00,Friday
18.46,2022-04-01 18:45:00,Friday
15.83,2022-04-01 19:00:00,Friday
14.07,2022-04-01 19:15:00,Friday
18.38,2022-04-01 19:30:00,Friday
17.11,2022-04-01 19:45:00,Friday
21.17,2022-04-01 20:00:00,Friday
25.78,2022-04-01 20:15:00,Friday
24.03,2022-04-01 20:30:00,Friday
20.67,2022-04-01 20:45:00,Friday
25.38,2022-04-01 21:00:00,Friday
15.97,2022-04-01 21:15:00,Friday
20.54,2022-04-01 21:30:00,Friday
18.41,2022-04-01 21:45:00,Friday
11.74,2022-04-01 22:00:00,Friday
16.77,2022-04-01 22:15:00,Friday
17.44,2022-04-01 22:30:00,Friday
17.99,2022-04-01 22:45:00,Friday
17.89,2022-04-01 23:00:00,Friday
15.58,2022-04-01 23:15:00,Friday
15.0,2022-04-01 23:30:00,Friday
14.99,2022-04-01 23:45:00,Friday
13.39,2022-04-02 00:00:00,Saturday
13.08,2022-04-02 00:15:00,Saturday
12.35,2022-04-02 00:30:00,Saturday
8.73,2022-04-02 00:45:00,Saturday
10.18,2022-04-02 01:00:00,Saturday
13.33,2022-04-02 01:15:00,Saturday
8.17,2022-04-02 01:30:00,Saturday
11.89,2022-04-02 01:45:00,Saturday
13.22,2022-04-02 02:00:00,Saturday
12.24,2022-04-02 02:15:00,Saturday
11.54,2022-04-02 02:30:00,Saturday
9.77,2022-04-02 02:45:00,Saturday
11.13,2022-04-02 03:00:00,Saturday
12.03,2022-04-02 03:15:00,Saturday
11.93,2022-04-02 03:30:00,Saturday
13.32,2022-04-02 03:45:00,Saturday
19.79,2022-04-02 04:00:00,Saturday
17.34,2022-04-02 04:15:00,Saturday
17.3,2022-04-02 04:30:00,Saturday
16.55,2022-04-02 04:45:00,Saturday
25.0,2022-04-02 05:00:00,Saturday
22.71,2022-04-02 05:15:00,Saturday
20.61,2022-04-02 05:30:00,Saturday
21.74,2022-04-02 05:45:00,Saturday
21.11,2022-04-02 06:00:00,Saturday
16.16,2022-04-02 06:15:00,Saturday
24.97,2022-04-02 06:30:00,Saturday
24.03,2022-04-02 06:45:00,Saturday
19.92,2022-04-02 07:00:00,Saturday
21.86,2022-04-02 07:15:00,Saturday
22.77,2022-04-02 07:30:00,Saturday
20.43,2022-04-02 07:45:00,Saturday
17.86,2022-04-02 08:00:00,Saturday
21.46,2022-04-02 08:15:00,Saturday
22.33,2022-04-02 08:30:00,Saturday
22.6,2022-04-02 08:45:00,Saturday
20.18,2022-04-02 09:00:00,Saturday
20.09,2022-04-02 09:15:00,Saturday
23.2,2022-04-02 09:30:00,Saturday
25.79,2022-04-02 09:45:00,Saturday
21.02,2022-04-02 10:00:00,Saturday
24.4,2022-04-02 10:15:00,Saturday
25.79,2022-04-02 10:30:00,Saturday
22.8,2022-04-02 10:45:00,Saturday
19.25,2022-04-02 11:00:00,Saturday
15.66,2022-04-02 11:15:00,Saturday
19.3,2022-04-02 11:30:00,Saturday
15.42,2022-04-02 11:45:00,Saturday
24.23,2022-04-02 12:00:00,Saturday
22.82,2022-04-02 12:15:00,Saturday
19.56,2022-04-02 12:30:00,Saturday
16.35,2022-04-02 12:45:00,Saturday
15.16,2022-04-02 13:00:00,Saturday
13.12,2022-04-02 13:15:00,Saturday
16.31,2022-04-02 13:30:00,Saturday
18.87,2022-04-02 13:45:00,Saturday
17.91,2022-04-02 14:00:00,Saturday
14.28,2022-04-02 14:15:00,Saturday
15.56,2022-04-02 14:30:00,Saturday
16.5,2022-04-02 14:45:00,Saturday
15.23,2022-04-02 15:00:00,Saturday
15.69,2022-04-02 15:15:00,Saturday
17.75,2022-04-02 15:30:00,Saturday
15.73,2022-04-02 15:45:00,Saturday
12.92,2022-04-02 16:00:00,Saturday
17.76,2022-04-02 16:15:00,Saturday
17.24,2022-04-02 16:30:00,Saturday
20.34,2022-04-02 16:45:00,Saturday
19.64,2022-04-02 17:00:00,Saturday
26.02,2022-04-02 17:15:00,Saturday
23.88,2022-04-02 17:30:00,Saturday
21.41,2022-04-02 17:45:00,Saturday
20.78,2022-04-02 18:00:00,Saturday
21.78,2022-04-02 18:15:00,Saturday
22.23,2022-04-02 18:30:00,Saturday
21.63,2022-04-02 18:45:00,Saturday
17.37,2022-04-02 19:00:00,Saturday
16.85,2022-04-02 19:15:00,Saturday
21.14,2022-04-02 19:30:00,Saturday
17.73,2022-04-02 19:45:00,Saturday
20.34,2022-04-02 20:00:00,Saturday
25.7,2022-04-02 20:15:00,Saturday
21.4,2022-04-02 20:30:00,Saturday
21.95,2022-04-02 20:45:00,Saturday
21.47,2022-04-02 21:00:00,Saturday
16.62,2022-04-02 21:15:00,Saturday
21.03,2022-04-02 21:30:00,Saturday
21.47,2022-04-02 21:45:00,Saturday
18.33,2022-04-02 22:00:00,Saturday
17.95,2022-04-02 22:15:00,Saturday
20.6,2022-04-02 22:30:00,Saturday
19.83,2022-04-02 22:45:00,Saturday
17.8,2022-04-02 23:00:00,Saturday
17.0,2022-04-02 23:15:00,Saturday
16.11,2022-04-02 23:30:00,Saturday
20.08,2022-04-02 23:45:00,Saturday
14.33,2022-04-03 00:00:00,Sunday
14.79,2022-04-03 00:15:00,Sunday
13.89,2022-04-03 00:30:00,Sunday
17.1,2022-04-03 00:45:00,Sunday
16.63,2022-04-03 01:00:00,Sunday
16.25,2022-04-03 01:15:00,Sunday
17.25,2022-04-03 01:30:00,Sunday
12.79,2022-04-03 01:45:00,Sunday
16.56,2022-04-03 02:00:00,Sunday
9.86,2022-04-03 02:15:00,Sunday
11.83,2022-04-03 02:30:00,Sunday
12.95,2022-04-03 02:45:00,Sunday
12.6,2022-04-03 03:00:00,Sunday
15.49,2022-04-03 03:15:00,Sunday
12.34,2022-04-03 03:30:00,Sunday
14.24,2022-04-03 03:45:00,Sunday
15.53,2022-04-03 04:00:00,Sunday
13.89,2022-04-03 04:15:00,Sunday
19.34,2022-04-03 04:30:00,Sunday
16.63,2022-04-03 04:45:00,Sunday
20.8,2022-04-03 05:00:00,Sunday
22.46,2022-04-03 05:15:00,Sunday
23.53,2022-04-03 05:30:00,Sunday
21.31,2022-04-03 05:45:00,Sunday
25.57,2022-04-03 06:00:00,Sunday
16.02,2022-04-03 06:15:00,Sunday
20.81,2022-04-03 06:30:00,Sunday
20.83,2022-04-03 06:45:00,Sunday
20.27,2022-04-03 07:00:00,Sunday
23.42,2022-04-03 07:15:00,Sunday
23.36,2022-04-03 07:30:00,Sunday
21.88,2022-04-03 07:45:00,Sunday
20.41,2022-04-03 08:00:00,Sunday
26.04,2022-04-03 08:15:00,Sunday
21.24,2022-04-03 08:30:00,Sunday
26.01,2022-04-03 08:45:00,Sunday
18.09,2022-04-03 09:00:00,Sunday
21.0,2022-04-03 09:15:00,Sunday
25.32,2022-04-03 09:30:00,Sunday
18.77,2022-04-03 09:45:00,Sunday
21.31,2022-04-03 10:00:00,Sunday
25.14,2022-04-03 10:15:00,Sunday
17.53,2022-04-03 10:30:00,Sunday
16.83,2022-04-03 10:45:00,Sunday
19.99,2022-04-03 11:00:00,Sunday
17.66,2022-04-03 11:15:00,Sunday
15.19,2022-04-03 11:30:00,Sunday
15.3,2022-04-03 11:45:00,Sunday
20.65,2022-04-03 12:00:00,Sunday
17.18,2022-04-03 12:15:00,Sunday
